event,request,time
event,request,time
m3u8,output/more/fake/stream.m3u8,2006.256
ts,output/more/fake/stream4.ts,2006.326
ts,output/more/fake/stream5.ts,2009.453
m3u8,output/more/fake/stream.m3u8,2011.867
ts,output/more/fake/stream6.ts,2013.112
ts,output/more/fake/stream7.ts,2013.655
m3u8,output/more/fake/stream.m3u8,2014.647
ts,output/more/fake/stream8.ts,2015.355
m3u8,output/more/fake/stream.m3u8,2016.584
m3u8,output/more/fake/stream.m3u8,2021.137
ts,output/more/fake/stream9.ts,2021.595
m3u8,output/more/fake/stream.m3u8,2023.248
m3u8,output/more/fake/stream.m3u8,2027.892
m3u8,output/more/fake/stream.m3u8,2029.735
ts,output/more/fake/stream10.ts,2029.93
m3u8,output/more/fake/stream.m3u8,2032.396
m3u8,output/more/fake/stream.m3u8,2038.188
ts,output/more/fake/stream11.ts,2039.727
m3u8,output/more/fake/stream.m3u8,2040.162
m3u8,output/more/fake/stream.m3u8,2040.608
ts,output/more/fake/stream12.ts,2041.127
m3u8,output/more/fake/stream.m3u8,2041.324
m3u8,output/more/fake/stream.m3u8,2041.675
m3u8,output/more/fake/stream.m3u8,2042.442
m3u8,output/more/fake/stream.m3u8,2042.833
