event,request,time
event,request,time
m3u8,output/more/fake/stream.m3u8,1319.744
m3u8,output/more/fake/stream.m3u8,1320.178
m3u8,output/more/fake/stream.m3u8,1321.586
ts,output/more/fake/stream17.ts,1321.843
ts,output/more/fake/stream18.ts,1322.538
ts,output/more/fake/stream19.ts,1323.711
ts,output/more/fake/stream19.ts,1324.335
m3u8,output/more/fake/stream.m3u8,1324.79
m3u8,output/more/fake/stream.m3u8,1325.636
m3u8,output/more/fake/stream.m3u8,1326.076
m3u8,output/more/fake/stream.m3u8,1328.753
ts,output/more/fake/stream20.ts,1328.975
m3u8,output/more/fake/stream.m3u8,1329.023
m3u8,output/more/fake/stream.m3u8,1329.292
m3u8,output/more/fake/stream.m3u8,1333.279
ts,output/more/fake/stream20.ts,1333.706
m3u8,output/more/fake/stream.m3u8,1336.177
ts,output/more/fake/stream21.ts,1336.422
m3u8,output/more/fake/stream.m3u8,1336.454
m3u8,output/more/fake/stream.m3u8,1337.142
m3u8,output/more/fake/stream.m3u8,1341.384
m3u8,output/more/fake/stream.m3u8,1343.67
ts,output/more/fake/stream21.ts,1343.707
m3u8,output/more/fake/stream.m3u8,1343.936
m3u8,output/more/fake/stream.m3u8,1345.237
ts,output/more/fake/stream22.ts,1345.566
m3u8,output/more/fake/stream.m3u8,1347.524
m3u8,output/more/fake/stream.m3u8,1349.095
m3u8,output/more/fake/stream.m3u8,1352.683
ts,output/more/fake/stream23.ts,1352.889
ts,output/more/fake/stream22.ts,1353.741
m3u8,output/more/fake/stream.m3u8,1354.059
m3u8,output/more/fake/stream.m3u8,1357.791
m3u8,output/more/fake/stream.m3u8,1359.432
m3u8,output/more/fake/stream.m3u8,1362.582
ts,output/more/fake/stream24.ts,1363.1
ts,output/more/fake/stream23.ts,1363.698
m3u8,output/more/fake/stream.m3u8,1364.565
m3u8,output/more/fake/stream.m3u8,1367.808
m3u8,output/more/fake/stream.m3u8,1369.799
ts,output/more/fake/stream25.ts,1369.999
m3u8,output/more/fake/stream.m3u8,1372.576
ts,output/more/fake/stream24.ts,1373.706
m3u8,output/more/fake/stream.m3u8,1377.786
ts,output/more/fake/stream26.ts,1378.379
m3u8,output/more/fake/stream.m3u8,1379.647
m3u8,output/more/fake/stream.m3u8,1381.183
ts,output/more/fake/stream27.ts,1382.702
ts,output/more/fake/stream25.ts,1383.716
m3u8,output/more/fake/stream.m3u8,1385.239
m3u8,output/more/fake/stream.m3u8,1385.64
